url,title,description
https://baike.baidu.com/item/Avenger/19490913,复仇者（Fate系列中的职阶名）,《Fate》系列中对作为从者的英灵进行定位而使用的用语，特殊职阶之一。不属于圣杯战争基本的七个职阶的特殊职阶，职阶的符合条件不明，成为复仇者之后，个人阵营会固定为【恶】，神性大幅下降或消失，性格也被改变。拥有职阶技能【复仇者】、【忘却补正】与【自我回复（魔力）】。
https://baike.baidu.com/item/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1/10430732,阿尔托利亚·潘德拉贡（《Fate》系列登场的角色）,阿尔托莉雅·潘德拉贡，日本文字冒险游戏《Fate/stay night》及其衍生作品中的主要角色，Fate线的女主角，身份为古不列颠传说中的亚瑟王。性格忠诚正直，谦逊有礼，个性认真。因有圣剑Excalibur的传承，在第四、五次圣杯战争中一直以「Saber」职阶被召唤到现世。
https://baike.baidu.com/item/%E6%B5%B7%E4%BC%A6%E5%A8%9C%C2%B7%E5%B8%83%E6%8B%89%E7%93%A6%E8%8C%A8%E5%9F%BA/20123874,海伦娜·布拉瓦茨基（《Fate》系列中的Caster之一）,在TYPE-MOON推出的安卓&iOS游戏《Fate/Grand Order》中登场的Servant，职阶为Caster。喜欢的国家是印度。讨厌的团体是SPR（英国的心灵现象研究会）。
https://baike.baidu.com/item/%E5%93%88%E6%A1%91%C2%B7%E8%90%A8%E5%B7%B4%E8%B5%AB/9744075,哈桑·萨巴赫（《Fate/stay night》咒腕哈桑）,哈桑·萨巴赫（咒腕），《Fate/stay night》中的真Assassin，是历代继承了“哈桑·萨巴赫”之名的19位暗杀教团首领中的一位，在冬木市的第五次圣杯战争中被间桐脏砚召唤而参战（《Heavens Feel》线；与《Fate/Zero》的哈桑非同一人）。呈棒状异形的右手是他的特征。
https://baike.baidu.com/item/%E5%90%89%E5%B0%94%C2%B7%E5%BE%B7%C2%B7%E9%9B%B7/22697444,吉尔斯·德·莱斯（日本小说及动画《Fate/Zero》角色）,吉尔·德·雷，《Fate/Zero》第四次圣杯战争中职阶为“Caster”的从者。个性嗜虐且爱好杀人，对Master自称是“青须（蓝胡子）”。真身是英法百年战争时的法国元帅吉尔·德·雷，生前曾是百战百胜的军事指挥官，但身为军人厉害的并不是自身武力而是财力。参加圣杯战争的目的是为了复活并得到圣女贞德。在《Fate/Grand Order》中以两种形象登场，分别是3星Saber和3星Caster。
https://baike.baidu.com/item/Fate%2Fstay%20night/35179,fate/stay night（TYPE-MOON发行的文字冒险游戏）,《Fate/stay night》（フェイト/ステイナイト）是TYPE-MOON开发并最早于2004年1月30日在PC平台上发售的文字冒险游戏，也是TYPE-MOON公司商业化后初次亮相的作品，是Fate的系列作品之一。
https://baike.baidu.com/item/%E5%86%B0%E5%AE%A4%E7%9A%84%E5%A4%A9%E5%9C%B0/16747973,冰室的天地,《冰室的天地》是日本磨伸映一郎所创作的漫画作品，已经在一讯出版社出版。
https://baike.baidu.com/item/%E8%B5%AB%E6%8B%89%E5%85%8B%E5%8B%92%E6%96%AF/8571298,赫拉克勒斯（日本游戏《Fate/stay night》的人物）,赫拉克勒斯，日本文字冒险游戏《Fate/stay night》及其衍生作品中角色。狂战士的英灵，以“狂化”来专门特化破坏的从者类型。真身为希腊神话中宙斯之子大英雄赫拉克勒斯（海格力斯），第五次圣杯战争开始前两个月被召唤，Master是卫宫切嗣之女伊莉雅丝菲尔·冯·爱因兹贝伦。《Fate/strange Fake》中以乳名阿尔喀德斯登场。
https://baike.baidu.com/item/%E4%BB%8E%E6%BC%AB%E7%94%BB%E4%BA%86%E8%A7%A3%EF%BC%81Fate%2FGrand%20Order/23230801,从漫画了解！Fate/Grand Order（改编的电视动画）,电视动画《从漫画了解！Fate/Grand Order》改编自YPE-MOON著作的同名漫画作品。在12月31日播放的特别节目“Fate Project除夕TV特别篇2018”内播放。1 配音 女主角、男主人公：金田朋子 玛修·基列莱特：高桥李依 奥尔加玛丽·亚斯密雷特·阿尼姆斯菲亚：米泽圆 圣女贞德、贞德·Alter·Santa·Lily：坂本真绫 阿蒂拉：能登麻美子 阿斯托尔福：大久保瑠美 玉藻前：斋藤千和 伊丽莎白·巴托里:大久保瑠美 清姬：种田梨沙 开膛手杰克：丹下樱 童谣：野中蓝 保罗·班扬：小见川千明1 
https://baike.baidu.com/item/Lancer/19618637,枪之骑士,《Fate》系列中对作为从者的英灵进行定位而使用的用语，正规七职阶之一，三骑士职阶之一。苛刻的合适条件仅次于Saber。全体能力值优秀，并且敏捷必须要高。理所当然，要擅长发挥枪击范围和速度的一击脱离战法。包括很多出身骑士的英灵，职阶技能是【对魔力】。
