h_number,h_name,h_score,h_price,h_address,h_link
14,和颐至格酒店上海虹桥枢纽国家会展中心店,4.5,167,位于虹桥枢纽地区，上海闵行区沪星路399号，凯德七宝购物广场附近,http://hotel.qunar.com/city/shanghai_city/dt-22939/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
15,麦新格国际酒店(上海迪士尼店),4.9,492,位于周浦区域，上海浦东新区周浦镇上南路7779号,http://hotel.qunar.com/city/shanghai_city/dt-21595/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
16,漫心上海静安酒店,4.8,550,上海静安区天目西路111号，靠近上海火车站南广场,http://hotel.qunar.com/city/shanghai_city/dt-31151/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
17,上海昊美艺术酒店,4.5,617,位于浦东张江，上海浦东新区祖冲之路2299号,http://hotel.qunar.com/city/shanghai_city/dt-22989/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
18,维也纳国际酒店(上海松江店),4.5,262,位于松江新城，上海松江区人民北路1515号，上海视觉艺术学院南门附近,http://hotel.qunar.com/city/shanghai_city/dt-3207/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
20,上海林隐艺术酒店,4.7,536,位于浦东新区，上海浦东新区国际旅游度假区祝桥镇江镇西街71号,http://hotel.qunar.com/city/shanghai_city/dt-54505/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
21,上海静安瑞吉酒店,4.6,2002,位于南京西路，上海静安区北京西路1008号，紧挨上海兴业大厦,http://hotel.qunar.com/city/shanghai_city/dt-31381/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
22,锐思特·逸致酒店(上海北外滩周家嘴路店),4.8,247,位于北外滩地区，上海杨浦区周家嘴路3036号，上海交通大学医学院附属新…,http://hotel.qunar.com/city/shanghai_city/dt-9133/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
23,上海虹桥美利亚酒店,4.6,604,位于虹桥枢纽地区，上海青浦区高泾路1118号,http://hotel.qunar.com/city/shanghai_city/dt-26523/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
24,全季酒店(上海虹桥吴中路店),4.9,302,位于吴中路，上海闵行区吴中路699号，合川大厦附近,http://hotel.qunar.com/city/shanghai_city/dt-22932/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
25,上海五角场凯悦酒店,4.5,898,位于五角场商业区，上海杨浦区国定东路88号，中环国际大厦附近,http://hotel.qunar.com/city/shanghai_city/dt-24647/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
26,上海智微世纪丽呈酒店,4.7,450,位于浦东新区，上海浦东新区宣秋路699号,http://hotel.qunar.com/city/shanghai_city/dt-41808/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
27,上海东方明珠亚朵S酒店,4.9,615,位于浦东陆家嘴，上海浦东新区桃林路189号，靠近环球广场,http://hotel.qunar.com/city/shanghai_city/dt-58686/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
28,上海丽昂豪生大酒店,5.0,493,位于金桥，上海浦东新区金新路99号,http://hotel.qunar.com/city/shanghai_city/dt-59574/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
29,美豪丽致酒店(上海交大东川路店),4.8,383,位于闵行经开区，上海闵行区石屏路499号,http://hotel.qunar.com/city/shanghai_city/dt-55148/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
30,上海苏宁宝丽嘉酒店,4.7,2069,位于四川北路商业区，上海虹口区北苏州路188号，上海物资大厦附近,http://hotel.qunar.com/city/shanghai_city/dt-35978/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=110ec7a5-40ec-4b3a-b1b6-3d0fcc35f405&showMap=0&qptype=&QHFP=ZSS_A835070D/
1,上海虹桥机场华港雅阁酒店,4.5,398,位于虹桥枢纽地区，上海长宁区空港一路458号上海虹桥机场内,http://hotel.qunar.com/city/shanghai_city/dt-2226/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f825544c-0784-4ae2-ac51-e3f039a8aa2f&showMap=0&qptype=&QHFP=ZSS_A8350853/
2,上海徐汇云睿酒店,4.5,332,位于徐家汇，上海徐汇区龙华西路515号，上海精神卫生中心附近,http://hotel.qunar.com/city/shanghai_city/dt-15390/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f825544c-0784-4ae2-ac51-e3f039a8aa2f&showMap=0&qptype=&QHFP=ZSS_A8350853/
3,上海悦华大酒店,4.6,448,位于奉贤开发区，上海奉贤区南桥镇江海路229号,http://hotel.qunar.com/city/shanghai_city/dt-2658/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f825544c-0784-4ae2-ac51-e3f039a8aa2f&showMap=0&qptype=&QHFP=ZSS_A8350853/
4,胜高酒店(上海迪士尼周浦万达店),4.8,248,位于周浦区域，上海浦东新区沈梅东路209号,http://hotel.qunar.com/city/shanghai_city/dt-24839/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f825544c-0784-4ae2-ac51-e3f039a8aa2f&showMap=0&qptype=&QHFP=ZSS_A8350853/
5,全季酒店(上海虹桥中山西路店),4.7,412,位于徐家汇，上海长宁区中山西路908号，尚嘉中心附近,http://hotel.qunar.com/city/shanghai_city/dt-21606/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f825544c-0784-4ae2-ac51-e3f039a8aa2f&showMap=0&qptype=&QHFP=ZSS_A8350853/
6,锦江之星(上海浦东机场东海镇店),4.6,189,位于浦东新区，上海浦东新区祝桥镇盐朝公路798号,http://hotel.qunar.com/city/shanghai_city/dt-25982/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=f825544c-0784-4ae2-ac51-e3f039a8aa2f&showMap=0&qptype=&QHFP=ZSS_A8350853/
