h_number,h_name,h_score,h_price,h_address,h_link
2-10,成都麦田天阅酒店,4.6,333,位于武侯区，成都武侯区火车南站西路15号，成都南站附近,http://hotel.qunar.com/city/chengdu/dt-9287/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-11,四川锦江宾馆,4.6,617,位于华西坝，成都锦江区人民南路二段80号-1，靠近仁恒置地广场,http://hotel.qunar.com/city/chengdu/dt-90/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-12,成都太古里春熙CitiGO欢阁酒店,4.6,246,位于锦江区，成都锦江区年丰巷51号，大慈寺附近,http://hotel.qunar.com/city/chengdu/dt-46735/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-13,青桐城市酒店(成都宽窄巷子店),4.8,349,位于营门口，成都金牛区花牌坊北顺街2号，四威大厦附近,http://hotel.qunar.com/city/chengdu/dt-13770/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-14,成都首座万丽酒店,4.4,697,位于武侯区，成都武侯区人民南路四段48号，靠近四川省肿瘤医院,http://hotel.qunar.com/city/chengdu/dt-307/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-15,喆啡酒店(成都春熙路店),4.7,195,位于建设路，成都金牛区一环路北四段164号，北门汽车站附近,http://hotel.qunar.com/city/chengdu/dt-2153/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-16,时代天府酒店(成都世纪城会展中心店),4.9,403,位于高新区，成都武侯区天府大道中段500号东方希望天祥广场C座27楼，新希望国际附近,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-15365/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-17,天晴国际青年客栈(成都青羊宫店),4.9,36,位于宽窄巷子，成都青羊区芳邻路2号附26号3楼，靠近四川省骨科医院,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-17110/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-18,来住H·HOTEL(成都太古里九眼桥店),4.8,338,位于牛市口，成都锦江区通宝街99号泰合国际财富中心6栋二单元，成都市锦江区第二医院附近,http://hotel.qunar.com/city/chengdu/dt-46569/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-20,成都高新豪生大酒店,4.6,643,位于高新区，成都高新区天泰路338号，靠近四川投资大厦,http://hotel.qunar.com/city/chengdu/dt-7452/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
