h_number,h_name,h_score,h_price,h_address,h_link
2-6,深圳温德姆至尊酒店,4.7,1117,位于岗厦，深圳福田区彩田路2009号，大中华国际金融中心附近,http://hotel.qunar.com/city/shenzhen/dt-11052/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-7,深圳宝利来国际大酒店,4.6,685,位于福永，深圳宝安区福永街道福永大道,http://hotel.qunar.com/city/shenzhen/dt-2155/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-8,曼哈顿时尚酒店(深圳公明店),4.7,137,位于光明新区，深圳光明区公明东环大道大东明城市广场9号楼，公明广场附近,http://hotel.qunar.com/city/shenzhen/dt-24345/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-9,和颐酒店深圳罗湖口岸店,4.8,344,位于东门商业区，深圳罗湖区沿河南路1064号，金光华广场附近,http://hotel.qunar.com/city/shenzhen/dt-14581/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-10,维也纳国际酒店(深圳北站店),4.7,548,位于龙华区，深圳龙华区高铁北站西广场B座，七星商业广场附近,http://hotel.qunar.com/city/shenzhen/dt-7309/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-11,深圳友和国际大酒店,4.6,568,位于龙岗中心城，深圳龙岗区中心城吉祥中路588号，龙岗区政府附近,http://hotel.qunar.com/city/shenzhen/dt-3975/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-12,深圳深航国际酒店,4.7,722,位于车公庙，深圳福田区深南大道6035号，靠近招商银行大厦,http://hotel.qunar.com/city/shenzhen/dt-280/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-13,中濠S酒店(深圳福田会展中心店),4.6,867,位于新洲，深圳福田区滨河大道9005号，万基商务大厦附近,http://hotel.qunar.com/city/shenzhen/dt-21710/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-14,深圳坪山迎宾馆,4.5,339,位于坪山新区，深圳坪山区新合路88号,http://hotel.qunar.com/city/shenzhen/dt-13632/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-15,深圳松岗琥珀主题酒店,4.7,169,位于松岗，深圳宝安区松岗街道松瑞路1号,http://hotel.qunar.com/city/shenzhen/dt-16694/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
